,id,superficie,cubierta,precio,piso,expensas,descripcion,ambientes,pileta,seguridad,parrilla,balcon,cochera,geometry,dist_comisarias,dist_subte,dist_trenes,dist_metrobus,antiguedad
3,19,104.0,96.0,3365.384615384615,,,Excelente semipiso al contra frente en Bulnes y Libertador. Espectacular pulmón muy luminoso con árboles. Buen edificio con entrada reciclada hace dos años. Hall de entrada. Living comedor de muy buenas dimensiones con salida al balcón aterrazado. Toilette de recpeción. Master Suite muy grande con vestidor y gran baño (revestimientos de marmol) también al frente. Segundo dormitorio o escritorio (chico) a aire luz muy luminoso. Muy linda cocina con muebles alemanes. Pisos de parquet. Persianas eléctricas. Aislación acústica en paredes. Detalles de muy buena calidad. Baulera común. La unidad originalmente era de dos dormitorios pero fue refaccionada al plano actual (master suite más dormitorio chico o escritorio). Impecable! ,3,0,0,0,1,0,POINT (-58.4058744847 -34.580503566),719.3003759414137,991.6049457912767,794.4599115897162,1500.4896347752388,usado
22,209,68.0,48.0,3455.8823529411766,,,"Excelente 2 Ambientes orientacion Este, Muy luminoso a estrenar a 1 cuadra de libertador.Amenities:SumPiletaParillaSolariumLa venta/alquiler del Inmueble referido se encuentra sujeta a la tramitación del Código de Oferta de Transferencia de Inmuebles (C.O.T.I.) por parte del propietario. Las medidas son Aproximadas y al solo efecto orientativo, las medidas reales surgirán del Título de Propiedad respectivo.- ",2,1,0,0,0,0,POINT (-58.4372870022 -34.56457657510001),980.7161237912812,906.891788931586,260.1002393590031,876.3582230118964,estrenar
26,220,69.0,53.0,3447.753623188406,,,"El edificio está situado en el barrio de  las Cañitas en la ciudad  autonoma de Buenos Aires, en la calle Soldado de la Independencia 1100.Consta de 2 Subsuelos, Planta Baja y 9 pisos, con destino de vivienda multifamiliar y cocheras.El edificio se desarrolla entre medianeras, bajo el esquema de enrase. Respeta la altura de los edificios linderos y el peril de retiros. El piso 7 posee un retiro de 2 m al frente y en el piso 8 el retiro es de 1 metro al frente y de 4 mts al contrafrente generando terrazas en los respectivos departamentos.En el  primer y segundo subsuelo se ubican 16 cocheras simples y 4 bauleras. 8 cocheras por nivel. El acceso vehicular a las cocheras es atraves de un ascensor montavehiculos.La planta baja cuenta con un local al frente con la porteria y un departamento de 1 ambiente al contrafrente, el cual tiene patio propio. La planta del primer piso esta compuesta por 4 departamentos, dos al frente y 2 al contrafrente. Los departamentos son de 1 ambiente divisible y 2 ambientes con una superficie que va desde 58 a 67 mts. Los de 1 ambiente cuentan con acceso a un patio interno.La planta tipo se desarrolla de los Pisos 2º al 6º  donde se desarrollan 4 departamentos, dos al frente y dos al contrafrente, cada uno con su expansión. Los departamentos son de 1 ambiente divisible con iluminacion y ventilacion al patio de luz, y 2  ambientes con una superficie propia que va aproximadamente desde los 55 a los 59m2.  La planta del piso 7 se compone por tres departamentos, 2 al contrafrente y uno al frente con un retiro que genera una gran terraza. Las superficies son entre 55 a 105 mts aproximadamente.En el piso 8 se proyectaron dos departamentos. Un duplex al frente, en su planta baja se desarrolla cocina, comedor, toilette y los dormitorios, y en planta alta una terraza como posible futura expansion. Al contrafrente se desarrolla un departamento de 3 ambientes con retiro y con una amplia terraza. Estos departamentos tienen una superficie cubierta que va aproximadamente entre los 90 y 100 m2.El piso 9º cuenta con un solarium y pileta. Ademas se encuentran las areas tecnicas de tanque de reserva, y sala de termotanques de agua caliente central.",2,1,0,0,0,1,POINT (-58.43823280199999 -34.5652650561),894.7719674304635,791.2766218711632,371.5478933425471,766.8188617516075,usado
32,241,39.0,35.0,3776.9230769230767,,,"IMPECABLE TORRE COY III – DEPARTAMENTO DE UN AMBIENTE A ESTRENAR – BALCON AL FRENTE – COCINA INTEGRADA –BAÑO COMPLETO – PISOS DE PORCELANATO – AIRE ACONDICIONADO FRIO / CALOR - SUPER LUMINOSO – SEGURIDAD POR CAMARAS LAS 24 HORAS – EL EDIFICO CUENTA CON LAUNDRY, SUM Y PARRILLA - EXCELENTE UBICACION A MEDIA CUADRA DEL SHOPPING ALTO PALERMO - A 200 MTS DEL SUBTE D ESTACION BULNES – A METROS DE LA AV. SANTA FE Y CORONEL DIAZ – A METROS DE PLAZA GUEMES Y PARQUE LAS HERAS - IMPERDIBLE.La publicación de este inmueble es a solo título informativo, pues la venta de la propiedad está supeditada a que el propietario cumplimente el trámite ante la AFIP para la obtención del Número de COTI correspondiente.CONSÚLTENOS- SUCURSAL PALERMO- .  ",1,0,1,1,1,0,POINT (-58.41230720000001 -34.5888617),354.98717262419336,115.94757867742821,1737.8344892449136,1285.9787675508949,estrenar
41,266,47.0,41.0,2872.340425531915,,1800.0,"CODIGO:  ubicado en: Avenida Santa Fe 5000 -  Publicado por: AMBIENTE 23 NEGOCIOS INMOBILIARIOS. El precio es de USD 135000 null. Departamento de 2 ambientes con pisos de cerámica, refaccionado hace 1 año aprox., caños hechos a nuevo, dormitorio con amplio placard, balcón corrido ya enrejado, con vista a la av. santa fe, muy luminoso. La ubicación del mismo esta a la mitad de las estaciones de subte línea D, ""Palermo"" y ""Carranza"", trenes, metrobus varias líneas. . Publicado a través de Mapaprop",2,0,0,0,1,0,POINT (-58.4314684478 -34.5765042465),773.1233445594954,357.0072753913893,326.5555660262067,190.2452169059251,estrenar
80,444,43.0,43.0,2209.3023255813955,,,"Corredor Responsable: Raul Hector Merlo - CUCICBA 2407Contacto: Cora Solari - MLS ID # 61096-40Departamento de dos ambientes en Palermo.  Gûemes entre Malabia y Armenia.  43mt. totales, departamento interno.  Todos los ambientes tienen ventana al exterior (pulmon de manzana) Dormitorio con placard. Pisos de madera.  Expensas aproximadas de $700,  ",2,0,0,0,0,0,POINT (-58.419 -34.58489),282.6586560569005,280.895488982364,988.7379117191138,553.7270472345393,usado
89,567,106.0,100.0,2924.528301886793,,,"EXCELENTE, SEMIPISO, AL CONTRAFRENTE, A METROS DE PLAZA LAS HERAS, SON 105 M2 + COCHERA FIJA + BAULERA (EN JAULA), EDIFICIO DE CATEGORIA, PALIER PRIVADO Y DE SERVICIO, GRAN LIVING, BALCON A PULMON, 2 DORMITORIOS, DEPENDENCIA DE SERVICIO, COCINA CON COMEDOR DIARIO.",3,0,0,0,1,1,POINT (-58.4232966 -34.57114960000001),1294.4921516484765,836.6467414823683,93.9087828857865,772.4189519631999,usado
108,751,159.0,140.0,2924.528301886793,,6500.0,"VENTA DEPARTAMENTO 5 AMBIENTES en PALERMOExcelente departamento de un piso en el barrio de Palermo. Cuenta con living, comedor diario grande , cocina muy amplia, hall de distribución con placard y balcón en L aterrazado. Un dormitorio en suite al frente con vestidor y dos dormitorios con placards. Otro baño completo.Doble circulación, aire acondicionado. Completamente equipado. Dependencia de servicio con baño, lavadero y baulera. Cochera.ABL $ 2400 AYSA $ 500 -  - ESTUDIO LCA",4,0,0,0,1,1,POINT (-58.4143806 -34.5803723),119.56680714038056,549.9959148020201,1132.552249464975,720.6583468464603,usado
109,753,36.0,33.0,5138.88888888889,,2500.0,"Venta de Departamento 2 AMBIENTES  muy luminoso,en Duplex, en Palermo, Cañitas. Cuenta con cochera . Cuenta con cocina integrada, con barra Desayunadora, cuenta con dos Aires Acondicionados,  Balcón. Excelente distribución del espacio y la luz en doble Altura.-El valor de las expensas incluye AYSA.Cristian Bau  Av. del Libertdor 4594 - CABA -  - CRISTIAN BAU PROPIEDADES",2,0,0,0,1,1,POINT (-58.4321322175 -34.57154091),656.149161378362,482.4281750056277,508.1416709176426,667.4607735238279,usado
126,890,137.0,137.0,2737.2262773722628,6.0,,"Corredor Responsable: Mariano Aufseher - CUCICBA 4251Contacto: María Fernanda Gutiérrez - MLS ID # 420251069-14Silencioso contrafrente, con vista abierta y muy luminoso - BAJISIMAS EXPENSAS Departamento de 4 ambientes ubicado Frente al Alto Palermo en piso 6°  con detalles de categoría, en excelente estado. LOS METROS DE PLANTA SON APROXIMADAMENTE ENTRE 100 Y 110 mts LOS METROS TOTALES SON 134 + balcon Se accede por la entrada principal a amplio living comedor con salida a balcón soleado y vista abierta a amplio pulmón de manzana. Tranquilo y silencioso por su orientación.  Barra desayunadora. Pisos entablonados de incienso plastificado . Cocina semi integrada ( CUCINA BELLA )  Hall de distribución que llevan a dos luminosos dormitorios orientados al oeste y al tercer dormitorio en suite con baño de mármol de carrara, vidrios esmerilados y gran Jacuzzi. Las paredes de los 3 dormitorios son enteladas y los pisos entablonados. Segundo baño completo con cabina duchadora, piso y pared de venecitas. Aire acondicionado en todos los ambientes. Agua caliente y calefacción central. Todos los ambientes son externos.  Entrada de servicio. Amplia baulera en sótano. Edificio muy bien mantenido  MUY BAJAS EXPENSAS, en los últimos meses oscilan entre $ 1.300 y $ 1.800 por mes incluyendo Aysa. El edificio cuenta con un IMPORTANTE LOCAL que esta ALQUILADO. Este alquiler se divide entre los propietarios, aplicando al pago de expensas. Esta renta CUBRE LA MAYORIA DE LOS GASTOS y en algunas ocasiones CUBRE EL TOTAL DE LAS EXPENSAS. La venta del departamento INCLUYE todos los derechos indivisos que tiene sobre el local.  Medidas Living - comedor  8 x 4,77  Hall de distribución  3,13 x 1,13  Dormitorio 3,63 x 3 Dormitorio 3,28 x 3,44 Dormitorio Principal 4,43 x 3,30  Baño con Jacuzzi 2,10 x 3,33 Baño 2,25 x 2,42 Cocina 3,40 x 2,80 Balcón 1,12 x 2,60   E?xpensas aproximadas al MES de Junio de 2017,   $ 1.700.-  ?Los metros ?aqui publicados ?son aproximados. Los reales surgen de la escritura. Esta publicidad respeta lo establecido en el art. 4 y 8? de la? ley 24.240    Para ver el video de la propiedad hacer click en el icono YOUTUBE o copiar este link https://youtu.be/OejFSxDOewU       ",4,0,0,0,1,0,POINT (-58.410881 -34.58905900000001),485.8194640274753,98.73357065368627,1797.2071333400309,1396.1709204080769,usado
