barrio,geometry
Costa,"POLYGON ((-58.43661941404986 -34.56329558655996, -58.44198383207964 -34.55944335183094, -58.44129718657183 -34.55749949593987, -58.43473113890337 -34.55382371701165, -58.43520320768999 -34.55318750801771, -58.42614807005572 -34.54841578549594, -58.40941108580279 -34.55654522278859, -58.39881099577593 -34.56071566927175, -58.39301742430376 -34.57198896515867, -58.39683688994097 -34.57382647353928, -58.40048469420123 -34.57209497636146, -58.40254463072466 -34.57414449971311, -58.40524829741167 -34.57110553321213, -58.41026939268755 -34.57686534058166, -58.42627681608843 -34.56905593494599, -58.43661941404986 -34.56329558655996))"
Chico,"POLYGON ((-58.40254463072466 -34.57410916353167, -58.3961931597774 -34.5788440780063, -58.39949764128374 -34.58283674402898, -58.40378917570757 -34.58145876592631, -58.40705074186968 -34.57887941217509, -58.41031230803179 -34.57690067559157, -58.40524829741167 -34.57110553321213, -58.40254463072466 -34.57410916353167))"
Norte,"POLYGON ((-58.39945472593951 -34.58283674402898, -58.40095676298785 -34.58463868092035, -58.40237296934771 -34.58372005130866, -58.40653575773882 -34.58382604755132, -58.41142810698199 -34.58209475865883, -58.41387428160357 -34.58174142996383, -58.41026939268755 -34.57690067559157, -58.40705074186968 -34.57887941217509, -58.40378917570757 -34.58149409898357, -58.39945472593951 -34.58283674402898))"
Zoo,"POLYGON ((-58.41022647734331 -34.57686534058166, -58.41537631865191 -34.57442718862411, -58.42159904356646 -34.58096410154742, -58.41971076841998 -34.58142343285402, -58.41391719694781 -34.58174142996383, -58.41022647734331 -34.57686534058166))"
Botanico,"POLYGON ((-58.42159904356646 -34.58099943481498, -58.42430271025347 -34.58319006806746, -58.41876663084673 -34.5872531865427, -58.41138519163775 -34.58209475865883, -58.41396011229205 -34.5817060970117, -58.41983951445269 -34.58138809976672, -58.42159904356646 -34.58099943481498))"
Nuevo,"POLYGON ((-58.42348731871294 -34.57043411865489, -58.42773593779253 -34.57774871132369, -58.42524684782671 -34.57849073549227, -58.42155612822222 -34.58103476806752, -58.41533340330767 -34.5743918525628, -58.42348731871294 -34.57043411865489))"
Las Cañitas,"POLYGON ((-58.44202674742388 -34.55944335183094, -58.44292796965289 -34.5638610371912, -58.43842185850787 -34.56753637258434, -58.43172706480669 -34.57474521249997, -58.42773593779253 -34.57778404595811, -58.42344440336871 -34.57039878089641, -58.42631973143267 -34.56905593494599, -58.4366623293941 -34.56326024576786, -58.44202674742388 -34.55944335183094))"
Pacifico,"POLYGON ((-58.42430271025347 -34.58326073269489, -58.4254614245479 -34.58414403546816, -58.43683399077105 -34.57548726347915, -58.43292869444537 -34.57343777323022, -58.43172706480669 -34.57474521249997, -58.42773593779253 -34.57781938057751, -58.42516101713824 -34.57852606981126, -58.42155612822222 -34.58103476806752, -58.42430271025347 -34.58326073269489))"
Hollywood,"POLYGON ((-58.43683399077105 -34.57552259907484, -58.44485916014361 -34.58269541399302, -58.44533122893023 -34.5846740126257, -58.43807853575396 -34.58937299557764, -58.43760646696734 -34.58771248308957, -58.42902339811968 -34.58145876592631, -58.43121208067583 -34.57972742771994, -58.43683399077105 -34.57552259907484))"
Falso Belgrano,"POLYGON ((-58.4401384722774 -34.5785967384042, -58.44447292204546 -34.57538125660194, -58.44129718657183 -34.57227166139906, -58.4496656786983 -34.56799577808734, -58.44782031889605 -34.56619348040762, -58.44297088499712 -34.56382569663937, -58.4384647738521 -34.56753637258434, -58.43292869444537 -34.57343777323022, -58.43683399077105 -34.57552259907484, -58.4401384722774 -34.5785967384042))"
Soho,"POLYGON ((-58.4381214510982 -34.58944365494742, -58.42983878966021 -34.59470760899638, -58.41876663084673 -34.5872531865427, -58.42430271025347 -34.58322540038868, -58.4254614245479 -34.58417936738381, -58.42906631346392 -34.58142343285402, -58.43764938231158 -34.58774781348801, -58.4381214510982 -34.58944365494742))"
Alto,"POLYGON ((-58.40649284239458 -34.58382604755132, -58.40619243498492 -34.58400270765534, -58.4112135302608 -34.59085682972403, -58.41752208586382 -34.58636991681709, -58.41138519163775 -34.58209475865883, -58.40649284239458 -34.58382604755132))"
Freud,"POLYGON ((-58.4112135302608 -34.5909274878319, -58.41421760435748 -34.59438966150501, -58.41584838743853 -34.59816962513283, -58.42387355681109 -34.59813429916622, -58.42988170500445 -34.5947429364203, -58.41872371550249 -34.58728851713643, -58.41752208586382 -34.58636991681709, -58.4112135302608 -34.5909274878319))"
